,1/255,4/255,8/255,12/255,16/255
Peng2023Robust,0.9466666579246521,0.8799999952316284,0.746666669845581,0.4933333396911621,0.31333333253860474
Rebuffi2021Fixing_70_16_cutmix_ddpm,0.8733333349227905,0.8133333325386047,0.6866666674613953,0.4866666793823242,0.2933333218097687
Wang2020Improving,0.8533333539962769,0.800000011920929,0.6399999856948853,0.36000001430511475,0.18000000715255737
Rice2020Overfitting,0.8199999928474426,0.7266666889190674,0.5533333420753479,0.30000001192092896,0.20000000298023224
Chen2024Data_WRN_34_20,0.8266666531562805,0.7400000095367432,0.5666666626930237,0.3733333349227905,0.25333333015441895
